year,date,median,low,high
2020,2020-03-10,16,0,418
2020,2020-03-11,16,0,421
2020,2020-03-12,15,0,411
2020,2020-03-13,16,0,332
2020,2020-03-14,12,0,437
2020,2020-03-15,8,0,345
2020,2020-03-16,10,0,219
2020,2020-03-17,10,0,223
2020,2020-03-18,9,0,180
2020,2020-03-19,7,0,183
2020,2020-03-20,6,0,184
2020,2020-03-21,4,0,154
2020,2020-03-22,3,0,194
2020,2020-03-23,4,0,109
2020,2020-03-24,4,0,149
2020,2020-03-25,5,0,261
2020,2020-03-26,3,0,154
2020,2020-03-27,3,0,169
2020,2020-03-28,2,0,209
2020,2020-03-29,1,0,162
2020,2020-03-30,4,0,138
2020,2020-03-31,3,0,122
2020,2020-04-01,3,0,142
2020,2020-04-02,3,0,172
2020,2020-04-03,3,0,211
2020,2020-04-04,2,0,169
2020,2020-04-05,2,0,170
2020,2020-04-06,3,0,123
2020,2020-04-07,3,0,160
2020,2020-04-08,3,0,177
2020,2020-04-09,3,0,140
2020,2020-04-10,3,0,154
2020,2020-04-11,2,0,170
2020,2020-04-12,2,0,45
2020,2020-04-13,2,0,128
2020,2020-04-14,2,0,190
2020,2020-04-15,3,0,213
2020,2020-04-16,4,0,207
2020,2020-04-17,3,0,219
2020,2020-04-18,2,0,158
2020,2020-04-19,3,0,117
2020,2020-04-20,3,0,120
2020,2020-04-21,3,0,145
2020,2020-04-22,4,0,145
2020,2020-04-23,3,0,155
2020,2020-04-24,3,0,165
2020,2020-04-25,4,0,206
2020,2020-04-26,2,0,170
2020,2020-04-27,3,0,193
2020,2020-04-28,4,0,182
2020,2020-04-29,3,0,149
2020,2020-04-30,3,0,145
2020,2020-05-01,4,0,188
2020,2020-05-02,3,0,176
2020,2020-05-03,3,0,153
2020,2020-05-04,3,0,167
2020,2020-05-05,4,0,140
2020,2020-05-06,4,0,165
2020,2020-05-07,4,0,177
2020,2020-05-08,4,0,162
2020,2020-05-09,3,0,155
2020,2020-05-10,3,0,190
2020,2020-05-11,4,0,144
2020,2020-05-12,3,0,154
2020,2020-05-13,4,0,157
2020,2020-05-14,5,0,160
2020,2020-05-15,4,0,192
2020,2020-05-16,4,0,206
2020,2020-05-17,2,0,207
2020,2020-05-18,4,0,327
2020,2020-05-19,5,0,192
2020,2020-05-20,5,0,162
2020,2020-05-21,5,0,187
2020,2020-05-22,5,0,184
2020,2020-05-23,3,0,165
2020,2020-05-24,4,0,213
2020,2020-05-25,3,0,158
2020,2020-05-26,4,0,147
2020,2020-05-27,5,0,139
2020,2020-05-28,5,0,155
2020,2020-05-29,5,0,158
2020,2020-05-30,4,0,153
2020,2020-05-31,3,0,141
2020,2020-06-01,5,0,157
2020,2020-06-02,5,0,116
2020,2020-06-03,4,0,129
2020,2020-06-04,5,0,135
2020,2020-06-05,5,0,133
2020,2020-06-06,4,0,134
2020,2020-06-07,4,0,181
2020,2020-06-08,5,0,224
2020,2020-06-09,6,0,174
2020,2020-06-10,6,0,194
2020,2020-06-11,5,0,215
2020,2020-06-12,6,0,183
2020,2020-06-13,4,0,247
2020,2020-06-14,4,0,192
2020,2020-06-15,6,0,212
2020,2020-06-16,6,0,194
2020,2020-06-17,6,0,196
2020,2020-06-18,6,0,220
2020,2020-06-19,6,0,238
2020,2020-06-20,6,0,244
2020,2020-06-21,3,0,176
2020,2020-06-22,8,0,216
2020,2020-06-23,8,0,201
2020,2020-06-24,9,0,239
2020,2020-06-25,9,0,208
2020,2020-06-26,9,0,231
2020,2020-06-27,6,0,238
2020,2020-06-28,5,0,246
2020,2020-06-29,8,0,210
2020,2020-06-30,8,0,214
2020,2020-07-01,9,0,216
2020,2020-07-02,8,0,195
2020,2020-07-03,7,0,276
2020,2020-07-04,5,0,237
2020,2020-07-05,7,0,218
2020,2020-07-06,7,0,187
2020,2020-07-07,9,0,216
2020,2020-07-08,8,0,218
2020,2020-07-09,9,0,219
2020,2020-07-10,7,0,168
2020,2020-07-11,7,0,286
2020,2020-07-12,5,0,235
2020,2020-07-13,10,0,241
2020,2020-07-14,10,0,217
2020,2020-07-15,9,0,200
2020,2020-07-16,9,0,199
2020,2020-07-17,10,0,270
2020,2020-07-18,8,0,237
2020,2020-07-19,5,0,182
2020,2020-07-20,8,0,222
2020,2020-07-21,9,0,224
2020,2020-07-22,8,0,231
2020,2020-07-23,9,0,229
2020,2020-07-24,9,0,263
2020,2020-07-25,8,0,262
2020,2020-07-26,7,0,251
2020,2020-07-27,10,0,190
2020,2020-07-28,10,0,266
2020,2020-07-29,9,0,236
2020,2020-07-30,10,0,211
2020,2020-07-31,10,0,258
2020,2020-08-01,8,0,289
2020,2020-08-02,7,0,215
2020,2020-08-03,9,0,231
2020,2020-08-04,8,0,152
2020,2020-08-05,9,0,243
2020,2020-08-06,9,0,235
2020,2020-08-07,8,0,234
2020,2020-08-08,8,0,289
2020,2020-08-09,6,0,197
2020,2020-08-10,9,0,205
2020,2020-08-11,9,0,198
2020,2020-08-12,9,0,234
2020,2020-08-13,8,0,248
2020,2020-08-14,8,0,249
2020,2020-08-15,7,0,235
2020,2020-08-16,5,0,223
2020,2020-08-17,8,0,207
2020,2020-08-18,10,0,209
2020,2020-08-19,9,0,206
2020,2020-08-20,10,0,222
2020,2020-08-21,12,0,302
2020,2020-08-22,8,0,258
2020,2020-08-23,6,0,255
2020,2020-08-24,8,0,211
2020,2020-08-25,9,0,231
2020,2020-08-26,8,0,213
2020,2020-08-27,10,0,204
2020,2020-08-28,8,0,192
2020,2020-08-29,8,0,284
2020,2020-08-30,6,0,259
2020,2020-08-31,8,0,199
2020,2020-09-01,9,0,201
2020,2020-09-02,9,0,217
